ID,Core Relations
1,movie.initial_release_date
2,movie.initial_release_date
3,movie.initial_release_date
4,movie.initial_release_date
5,movie.initial_release_date
6,
7,movie.initial_release_date movie.starring.actor
8,movie.initial_release_date movie.starring.actor
9,
10,movie.initial_release_date movie.starring.actor
11,movie.initial_release_date movie.starring.actor
12,movie.initial_release_date movie.starring.actor
13,
14,movie.initial_release_date movie.starring.actor
15,movie.initial_release_date movie.starring.actor
16,movie.initial_release_date movie.starring.actor
17,movie.initial_release_date movie.starring.actor
18,movie.initial_release_date movie.starring.actor
19,movie.initial_release_date movie.starring.actor
20,movie.initial_release_date movie.starring.actor
21,movie.initial_release_date movie.starring.actor
22,movie.initial_release_date movie.starring.actor
23,movie.initial_release_date movie.starring.actor
24,movie.initial_release_date movie.starring.actor
25,movie.initial_release_date movie.starring.actor
26,movie.initial_release_date movie.starring.actor
27,movie.initial_release_date movie.starring.actor
28,movie.initial_release_date movie.starring.actor
29,movie.initial_release_date movie.starring.actor
30,movie.initial_release_date movie.starring.actor
31,movie.initial_release_date movie.starring.actor
32,movie.initial_release_date movie.starring.actor
33,movie.initial_release_date movie.starring.actor
34,movie.initial_release_date movie.starring.actor
35,movie.initial_release_date movie.starring.actor
36,movie.initial_release_date movie.starring.actor
37,movie.initial_release_date movie.starring.actor
38,movie.initial_release_date movie.starring.actor
39,movie.initial_release_date movie.starring.actor
40,movie.initial_release_date movie.starring.actor
41,movie.initial_release_date movie.starring.actor
42,movie.initial_release_date movie.starring.actor
43,movie.initial_release_date movie.starring.actor
44,movie.initial_release_date movie.starring.actor
45,movie.initial_release_date movie.starring.actor
46,movie.initial_release_date movie.starring.actor
47,movie.initial_release_date movie.starring.actor
48,movie.initial_release_date movie.starring.actor
49,movie.initial_release_date movie.starring.actor
50,movie.initial_release_date movie.starring.actor
51,movie.initial_release_date movie.starring.actor
52,movie.initial_release_date movie.starring.actor
53,movie.initial_release_date movie.starring.actor
54,movie.initial_release_date movie.starring.actor
55,movie.initial_release_date movie.starring.actor
56,movie.initial_release_date movie.starring.actor
57,movie.initial_release_date movie.starring.actor
58,movie.initial_release_date movie.starring.actor
59,movie.initial_release_date movie.starring.actor
60,movie.initial_release_date movie.starring.actor
61,movie.initial_release_date movie.starring.actor
62,movie.initial_release_date movie.starring.actor
63,movie.initial_release_date movie.starring.actor
64,movie.initial_release_date movie.starring.actor
65,movie.initial_release_date movie.starring.actor
66,movie.initial_release_date movie.starring.actor
67,movie.initial_release_date movie.starring.actor
68,movie.initial_release_date movie.starring.actor
69,movie.initial_release_date movie.starring.actor
70,movie.initial_release_date movie.starring.actor
71,movie.initial_release_date movie.starring.actor
72,movie.initial_release_date movie.starring.actor
73,movie.initial_release_date movie.starring.actor
74,movie.initial_release_date movie.starring.actor
75,movie.initial_release_date movie.starring.actor
76,movie.initial_release_date movie.starring.actor
